date,high,low,opening_price,closing_price,volume
11-01-11 0:00,12.1,10.6,11.1,12,5331500
10-01-11 0:00,10.4,10,10.1,10.1,372000
09-01-11 0:00,11.8,9.9,11.6,10.4,3433000
06-01-11 0:00,12.2,11.5,11.8,11.6,2422500
05-01-11 0:00,12.2,11.7,12,11.8,1870500
04-01-11 0:00,12.5,11.9,12.4,12,2683500
03-01-11 0:00,12.4,12,12,12.2,1667500
02-01-11 0:00,13.3,12,13,12.1,4048000
30-12-12 0:00,7.2,7,7.2,7,80000
27-12-12 0:00,7.2,7,7.2,7.1,127500
26-12-12 0:00,7.3,6.9,7,7.1,277000
24-12-12 0:00,7.1,6.8,6.9,7,441500
23-12-12 0:00,7,6.8,6.9,6.8,287500
20-12-12 0:00,7.2,7,7.2,7,344500
19-12-12 0:00,7.2,7,7,7.1,248500
18-12-12 0:00,7.2,7.1,7.2,7.1,113500
17-12-12 0:00,7.3,7.2,7.2,7.2,177500
13-12-12 0:00,7.2,7,7.1,7.1,72500
12-12-12 0:00,7.4,7.2,7.3,7.2,205500
11-12-12 0:00,7.3,6.8,6.8,7.2,365500
10-12-12 0:00,7.1,6.8,7.1,6.8,296500
09-12-12 0:00,7.2,7,7.2,7,133500
06-12-12 0:00,7.3,7.2,7.2,7.2,87000
05-12-12 0:00,7.7,7.1,7.7,7.2,377500
04-12-12 0:00,7.5,7.2,7.2,7.3,339000
03-12-12 0:00,7.5,7.3,7.4,7.3,137500
02-12-12 0:00,8,7.4,8,7.4,436000
29-11-12 0:00,7.8,7.3,7.3,7.7,391500
28-11-12 0:00,7.3,7.1,7.2,7.1,165000
27-11-12 0:00,7.4,7.1,7.2,7.1,191000
26-11-12 0:00,7.4,7.2,7.3,7.2,470500
22-11-12 0:00,7.7,7.3,7.5,7.3,1007500
21-11-12 0:00,7.5,7.3,7.5,7.3,92500
20-11-12 0:00,7.6,7.3,7.4,7.3,142500
19-11-12 0:00,7.8,7.4,7.6,7.4,261500
18-11-12 0:00,8.2,7.4,8,7.7,627500
15-11-12 0:00,7.9,7.2,7.2,7.8,613500
14-11-12 0:00,7.5,7.2,7.4,7.2,275000
13-11-12 0:00,7.5,7.2,7.4,7.4,343000
12-11-12 0:00,7.7,7.1,7.7,7.3,275500
11-11-12 0:00,7.9,7.3,7.9,7.4,394500
08-11-12 0:00,8.1,7.8,8,7.8,239500
07-11-12 0:00,8.4,8,8.4,8,385000
06-11-12 0:00,8.3,8,8,8.2,645000
05-11-12 0:00,8.1,7.9,8,7.9,303000
04-11-12 0:00,8.3,7.9,8.3,7.9,404000
01-11-12 0:00,8.4,8.1,8.2,8.1,282500
31-10-12 0:00,8.5,8.1,8.1,8.2,517000
30-10-12 0:00,8.4,8,8.3,8.1,212500
23-10-12 0:00,8.5,8.1,8.1,8.3,286000
22-10-12 0:00,8.3,8,8.2,8,292000
21-10-12 0:00,8.5,8.1,8.4,8.2,300500
18-10-12 0:00,8.7,8.3,8.6,8.3,625500
17-10-12 0:00,8.5,8.1,8.2,8.2,421500
16-10-12 0:00,9,8.1,8.8,8.2,837500
15-10-12 0:00,8.5,7.3,7.3,8.5,764000
14-10-12 0:00,8.6,7.8,8.5,7.8,799000
11-10-12 0:00,8.5,8,8.3,8.1,746000
10-10-12 0:00,9.5,8.2,9.4,8.3,833500
09-10-12 0:00,8.8,8.3,8.4,8.8,834000
